epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,316.839,1.00818,0.53761,1.1046,0.96862,1,0.99326,0.71608,1.10739,0.56053,1.27145,0.000840286,0.000840286,0.000840286
43,324.414,1.0013,0.53747,1.09607,0.97067,1,0.99413,0.71693,1.03795,0.52002,1.2399,0.000812,0.000812,0.000812
44,331.757,1.00208,0.54648,1.09377,0.957,0.98915,0.9933,0.71343,1.01777,0.52998,1.25285,0.000783714,0.000783714,0.000783714
45,339.136,0.98218,0.55441,1.09345,0.97632,0.91635,0.98531,0.70718,1.076,0.56918,1.27991,0.000755429,0.000755429,0.000755429
46,347.033,0.97261,0.5657,1.0855,0.82374,0.93333,0.94294,0.68984,1.0877,0.67932,1.29102,0.000727143,0.000727143,0.000727143
47,353.83,0.97989,0.52406,1.13572,0.9263,0.88889,0.97362,0.65761,1.1483,0.63377,1.33951,0.000698857,0.000698857,0.000698857
48,361.559,0.98027,0.52352,1.08594,0.95644,0.97596,0.99122,0.6893,1.16625,0.53854,1.39111,0.000670571,0.000670571,0.000670571
49,368.104,0.97943,0.525,1.09346,0.95738,0.99842,0.9933,0.69393,1.11164,0.50247,1.32091,0.000642286,0.000642286,0.000642286
50,376.013,0.94186,0.50018,1.07115,0.95769,0.97778,0.99211,0.69553,1.08444,0.50689,1.28196,0.000614,0.000614,0.000614
51,382.489,0.89068,0.49138,1.04779,0.97906,0.95556,0.98736,0.70721,1.09378,0.53916,1.29343,0.000585714,0.000585714,0.000585714
52,390.427,0.88563,0.47795,1.06591,1,0.95524,0.98161,0.68897,1.14554,0.59909,1.35514,0.000557429,0.000557429,0.000557429
53,397.771,0.9593,0.48599,1.07033,0.98857,0.91111,0.9821,0.69874,1.18828,0.57364,1.42149,0.000529143,0.000529143,0.000529143
54,405.042,0.93903,0.49231,1.08596,0.97767,0.97778,0.97981,0.68532,1.14714,0.53457,1.3615,0.000500857,0.000500857,0.000500857
55,412.425,0.92014,0.46185,1.06416,0.97174,0.95556,0.98928,0.68833,1.18147,0.55438,1.37311,0.000472571,0.000472571,0.000472571
56,419.458,0.89731,0.46519,1.06789,0.96251,0.95556,0.99008,0.71786,1.16049,0.57218,1.33612,0.000444286,0.000444286,0.000444286
57,426.95,0.90125,0.48577,1.07595,1,0.95461,0.99111,0.71189,1.10123,0.56,1.28507,0.000416,0.000416,0.000416
58,433.746,0.87794,0.47037,1.09007,0.94948,0.97778,0.99122,0.7153,1.09289,0.53947,1.26418,0.000387714,0.000387714,0.000387714
59,441.468,0.85179,0.45682,1.03995,0.98779,0.95556,0.9925,0.73106,1.07497,0.51506,1.25946,0.000359429,0.000359429,0.000359429
60,447.897,0.89438,0.46776,1.07145,0.97758,0.96903,0.99331,0.71931,1.08889,0.50166,1.26962,0.000331143,0.000331143,0.000331143
61,458.161,0.85865,0.41696,1.0423,0.97731,0.95715,0.99331,0.72646,1.04252,0.4944,1.24063,0.000302857,0.000302857,0.000302857
62,465.732,0.86311,0.42452,1.04524,0.97815,0.9951,0.99457,0.71756,1.10407,0.49319,1.29177,0.000274571,0.000274571,0.000274571
63,472.242,0.84651,0.41581,1.04361,0.97663,1,0.99413,0.70606,1.09373,0.47636,1.31667,0.000246286,0.000246286,0.000246286
64,480.325,0.83681,0.3989,1.03755,0.971,0.97778,0.99286,0.72147,1.05817,0.50626,1.25186,0.000218,0.000218,0.000218
65,486.611,0.83709,0.40559,1.01186,0.93281,0.97778,0.98922,0.71752,1.07424,0.5391,1.24897,0.000189714,0.000189714,0.000189714
66,494.015,0.80965,0.39114,1.00407,0.9541,0.97778,0.99076,0.71695,1.09702,0.53868,1.27347,0.000161429,0.000161429,0.000161429
67,500.39,0.81271,0.38954,1.0054,0.9541,0.97778,0.99159,0.72486,1.09186,0.5157,1.25941,0.000133143,0.000133143,0.000133143
68,507.855,0.77143,0.37502,0.97859,0.95414,0.97778,0.99159,0.71542,1.08317,0.51762,1.24779,0.000104857,0.000104857,0.000104857
69,514.222,0.77668,0.3757,0.98277,0.93371,0.97778,0.98876,0.71768,1.08378,0.52721,1.24799,7.65714e-05,7.65714e-05,7.65714e-05
70,521.623,0.79459,0.38162,1.0192,0.93464,0.97778,0.9879,0.71379,1.07882,0.52516,1.24719,4.82857e-05,4.82857e-05,4.82857e-05
